         Index            Ts             t            HF        Weight            RH            Tr
             0   2.17610e+01   0.00000e+00  -1.27378e+01   2.09261e+01   1.38000e+01   1.80000e+01
             1   2.17626e+01   1.00000e+00  -1.27353e+01   2.09247e+01   1.38000e+01   1.80000e+01
             2   2.17317e+01   2.00000e+00  -1.27323e+01   2.09233e+01   1.38000e+01   1.80000e+01
             3   2.17243e+01   3.00000e+00  -1.27293e+01   2.09217e+01   1.37000e+01   1.80000e+01
             4   2.17119e+01   4.00000e+00  -1.27234e+01   2.09194e+01   1.36000e+01   1.80000e+01
             5   2.17256e+01   5.00000e+00  -1.27176e+01   2.09174e+01   1.36000e+01   1.80000e+01
             6   2.17187e+01   6.00000e+00  -1.27106e+01   2.09154e+01   1.35000e+01   1.80000e+01
             7   2.17054e+01   7.00000e+00  -1.27046e+01   2.09134e+01   1.34000e+01   1.80000e+01
             8   2.16964e+01   8.00000e+00  -1.26968e+01   2.09112e+01   1.34000e+01   1.80000e+01
             9   2.17049e+01   9.00000e+00  -1.26902e+01   2.09091e+01   1.34000e+01   1.80000e+01
            10   2.16847e+01   1.00000e+01  -1.26847e+01   2.09070e+01   1.33000e+01   1.80000e+01
            11   2.16772e+01   1.10000e+01  -1.26790e+01   2.09048e+01   1.33000e+01   1.80000e+01
            12   2.16603e+01   1.20000e+01  -1.26721e+01   2.09027e+01   1.33000e+01   1.80000e+01
            13   2.16495e+01   1.30000e+01  -1.26662e+01   2.09006e+01   1.32000e+01   1.80000e+01
            14   2.16397e+01   1.40000e+01  -1.26600e+01   2.08984e+01   1.32000e+01   1.80000e+01
            15   2.16346e+01   1.50000e+01  -1.26534e+01   2.08963e+01   1.31000e+01   1.80000e+01
            16   2.16171e+01   1.60000e+01  -1.26476e+01   2.08942e+01   1.30000e+01   1.80000e+01
            17   2.16175e+01   1.70000e+01  -1.26409e+01   2.08921e+01   1.30000e+01   1.80000e+01
            18   2.16126e+01   1.80000e+01  -1.26347e+01   2.08901e+01   1.30000e+01   1.80000e+01
            19   2.16011e+01   1.90000e+01  -1.26284e+01   2.08879e+01   1.30000e+01   1.80000e+01
            20   2.15926e+01   2.00000e+01  -1.26234e+01   2.08858e+01   1.29000e+01   1.80000e+01
            21   2.15773e+01   2.10000e+01  -1.26178e+01   2.08837e+01   1.29000e+01   1.80000e+01
            22   2.15686e+01   2.20000e+01  -1.26118e+01   2.08816e+01   1.28000e+01   1.80000e+01
            23   2.15583e+01   2.30000e+01  -1.26068e+01   2.08794e+01   1.28000e+01   1.80000e+01
            24   2.15607e+01   2.40000e+01  -1.26009e+01   2.08773e+01   1.27000e+01   1.80000e+01
            25   2.15528e+01   2.50000e+01  -1.25953e+01   2.08752e+01   1.27000e+01   1.80000e+01
            26   2.15351e+01   2.60000e+01  -1.25909e+01   2.08731e+01   1.26000e+01   1.80000e+01
            27   2.15194e+01   2.70000e+01  -1.25865e+01   2.08710e+01   1.26000e+01   1.80000e+01
            28   2.15068e+01   2.80000e+01  -1.25832e+01   2.08689e+01   1.26000e+01   1.80000e+01
            29   2.15053e+01   2.90000e+01  -1.25789e+01   2.08668e+01   1.25000e+01   1.80000e+01
            30   2.15051e+01   3.00000e+01  -1.25739e+01   2.08647e+01   1.25000e+01   1.80000e+01
            31   2.15007e+01   3.10000e+01  -1.25688e+01   2.08626e+01   1.25000e+01   1.80000e+01
            32   2.14729e+01   3.20000e+01  -1.25664e+01   2.08604e+01   1.24000e+01   1.80000e+01
            33   2.14692e+01   3.30000e+01  -1.25619e+01   2.08582e+01   1.24000e+01   1.80000e+01
            34   2.14690e+01   3.40000e+01  -1.25573e+01   2.08561e+01   1.23000e+01   1.80000e+01
            35   2.14467e+01   3.50000e+01  -1.25528e+01   2.08541e+01   1.23000e+01   1.80000e+01
            36   2.14536e+01   3.60000e+01  -1.25454e+01   2.08521e+01   1.23000e+01   1.80000e+01
            37   2.14287e+01   3.70000e+01  -1.25403e+01   2.08500e+01   1.22000e+01   1.80000e+01
            38   2.14413e+01   3.80000e+01  -1.25356e+01   2.08480e+01   1.22000e+01   1.80000e+01
            39   2.14295e+01   3.90000e+01  -1.25309e+01   2.08460e+01   1.22000e+01   1.80000e+01
            40   2.14236e+01   4.00000e+01  -1.25259e+01   2.08440e+01   1.22000e+01   1.80000e+01
            41   2.14099e+01   4.10000e+01  -1.25212e+01   2.08420e+01   1.21000e+01   1.80000e+01
            42   2.13991e+01   4.20000e+01  -1.25157e+01   2.08400e+01   1.21000e+01   1.80000e+01
            43   2.13881e+01   4.30000e+01  -1.25095e+01   2.08380e+01   1.21000e+01   1.80000e+01
            44   2.13858e+01   4.40000e+01  -1.25040e+01   2.08360e+01   1.20000e+01   1.80000e+01
            45   2.13757e+01   4.50000e+01  -1.24994e+01   2.08340e+01   1.20000e+01   1.80000e+01
            46   2.13545e+01   4.60000e+01  -1.24954e+01   2.08320e+01   1.20000e+01   1.80000e+01
            47   2.13608e+01   4.70000e+01  -1.24906e+01   2.08300e+01   1.19000e+01   1.80000e+01
            48   2.13428e+01   4.80000e+01  -1.24861e+01   2.08280e+01   1.19000e+01   1.80000e+01
            49   2.13417e+01   4.90000e+01  -1.24814e+01   2.08260e+01   1.19000e+01   1.80000e+01
            50   2.13454e+01   5.00000e+01  -1.24775e+01   2.08240e+01   1.19000e+01   1.80000e+01
            51   2.13400e+01   5.10000e+01  -1.24735e+01   2.08220e+01   1.18000e+01   1.80000e+01
            52   2.13208e+01   5.20000e+01  -1.24670e+01   2.08200e+01   1.18000e+01   1.80000e+01
            53   2.13303e+01   5.30000e+01  -1.24603e+01   2.08180e+01   1.17000e+01   1.80000e+01
            54   2.13010e+01   5.40000e+01  -1.24547e+01   2.08160e+01   1.17000e+01   1.80000e+01
            55   2.13021e+01   5.50000e+01  -1.24496e+01   2.08140e+01   1.17000e+01   1.80000e+01
            56   2.12742e+01   5.60000e+01  -1.24439e+01   2.08120e+01   1.17000e+01   1.80000e+01
            57   2.12656e+01   5.70000e+01  -1.24383e+01   2.08100e+01   1.17000e+01   1.80000e+01
            58   2.12644e+01   5.80000e+01  -1.24323e+01   2.08080e+01   1.17000e+01   1.80000e+01
