         Index            Ts             t            HF        Weight            RH            Tr
             0   2.22428e+01   0.00000e+00  -9.67826e+00   1.86556e+01   1.73000e+01   1.80000e+01
             1   2.22242e+01   1.00000e+00  -9.67950e+00   1.86553e+01   1.73000e+01   1.80000e+01
             2   2.22090e+01   2.00000e+00  -9.68094e+00   1.86551e+01   1.72000e+01   1.80000e+01
             3   2.21779e+01   3.00000e+00  -9.68244e+00   1.86548e+01   1.72000e+01   1.80000e+01
             4   2.21674e+01   4.00000e+00  -9.68447e+00   1.86544e+01   1.72000e+01   1.80000e+01
             5   2.21759e+01   5.00000e+00  -9.68493e+00   1.86540e+01   1.72000e+01   1.80000e+01
             6   2.21756e+01   6.00000e+00  -9.68460e+00   1.86537e+01   1.72000e+01   1.80000e+01
             7   2.21584e+01   7.00000e+00  -9.68467e+00   1.86533e+01   1.72000e+01   1.80000e+01
             8   2.21634e+01   8.00000e+00  -9.68416e+00   1.86529e+01   1.71000e+01   1.80000e+01
             9   2.21427e+01   9.00000e+00  -9.68373e+00   1.86526e+01   1.71000e+01   1.80000e+01
            10   2.21514e+01   1.00000e+01  -9.68317e+00   1.86522e+01   1.71000e+01   1.80000e+01
            11   2.21355e+01   1.10000e+01  -9.68313e+00   1.86518e+01   1.70000e+01   1.80000e+01
            12   2.21302e+01   1.20000e+01  -9.68264e+00   1.86514e+01   1.70000e+01   1.80000e+01
            13   2.21135e+01   1.30000e+01  -9.68205e+00   1.86511e+01   1.70000e+01   1.80000e+01
            14   2.21116e+01   1.40000e+01  -9.68194e+00   1.86507e+01   1.70000e+01   1.80000e+01
            15   2.21051e+01   1.50000e+01  -9.68230e+00   1.86503e+01   1.70000e+01   1.80000e+01
            16   2.20735e+01   1.60000e+01  -9.68225e+00   1.86499e+01   1.69000e+01   1.80000e+01
            17   2.20807e+01   1.70000e+01  -9.68211e+00   1.86495e+01   1.69000e+01   1.80000e+01
            18   2.20727e+01   1.80000e+01  -9.68072e+00   1.86491e+01   1.69000e+01   1.80000e+01
            19   2.20668e+01   1.90000e+01  -9.67847e+00   1.86487e+01   1.69000e+01   1.80000e+01
            20   2.20601e+01   2.00000e+01  -9.67825e+00   1.86483e+01   1.69000e+01   1.80000e+01
            21   2.20513e+01   2.10000e+01  -9.67593e+00   1.86478e+01   1.69000e+01   1.80000e+01
            22   2.20483e+01   2.20000e+01  -9.67350e+00   1.86474e+01   1.69000e+01   1.80000e+01
            23   2.20407e+01   2.30000e+01  -9.67229e+00   1.86471e+01   1.69000e+01   1.80000e+01
            24   2.20358e+01   2.40000e+01  -9.67108e+00   1.86467e+01   1.69000e+01   1.80000e+01
            25   2.20132e+01   2.50000e+01  -9.66975e+00   1.86464e+01   1.68000e+01   1.80000e+01
            26   2.20080e+01   2.60000e+01  -9.66841e+00   1.86460e+01   1.68000e+01   1.80000e+01
            27   2.20001e+01   2.70000e+01  -9.66700e+00   1.86456e+01   1.68000e+01   1.80000e+01
            28   2.19913e+01   2.80000e+01  -9.66256e+00   1.86452e+01   1.68000e+01   1.80000e+01
            29   2.19974e+01   2.90000e+01  -9.65989e+00   1.86448e+01   1.68000e+01   1.80000e+01
            30   2.19817e+01   3.00000e+01  -9.65823e+00   1.86444e+01   1.68000e+01   1.80000e+01
            31   2.19659e+01   3.10000e+01  -9.65671e+00   1.86441e+01   1.68000e+01   1.80000e+01
            32   2.19556e+01   3.20000e+01  -9.65843e+00   1.86437e+01   1.68000e+01   1.80000e+01
            33   2.19475e+01   3.30000e+01  -9.65804e+00   1.86434e+01   1.68000e+01   1.80000e+01
            34   2.19375e+01   3.40000e+01  -9.65752e+00   1.86430e+01   1.67000e+01   1.80000e+01
            35   2.19325e+01   3.50000e+01  -9.65687e+00   1.86427e+01   1.67000e+01   1.80000e+01
            36   2.19177e+01   3.60000e+01  -9.65531e+00   1.86423e+01   1.67000e+01   1.80000e+01
            37   2.19268e+01   3.70000e+01  -9.65444e+00   1.86419e+01   1.67000e+01   1.80000e+01
            38   2.19141e+01   3.80000e+01  -9.65406e+00   1.86415e+01   1.67000e+01   1.80000e+01
            39   2.19099e+01   3.90000e+01  -9.65359e+00   1.86412e+01   1.66000e+01   1.80000e+01
            40   2.18981e+01   4.00000e+01  -9.65435e+00   1.86408e+01   1.66000e+01   1.80000e+01
            41   2.19022e+01   4.10000e+01  -9.65514e+00   1.86404e+01   1.66000e+01   1.80000e+01
            42   2.18778e+01   4.20000e+01  -9.65557e+00   1.86401e+01   1.66000e+01   1.80000e+01
            43   2.18689e+01   4.30000e+01  -9.65562e+00   1.86397e+01   1.66000e+01   1.80000e+01
            44   2.18712e+01   4.40000e+01  -9.65578e+00   1.86393e+01   1.66000e+01   1.80000e+01
            45   2.18503e+01   4.50000e+01  -9.65502e+00   1.86390e+01   1.66000e+01   1.80000e+01
            46   2.18215e+01   4.60000e+01  -9.65395e+00   1.86386e+01   1.66000e+01   1.80000e+01
            47   2.18353e+01   4.70000e+01  -9.65211e+00   1.86383e+01   1.66000e+01   1.80000e+01
            48   2.18415e+01   4.80000e+01  -9.65108e+00   1.86380e+01   1.66000e+01   1.80000e+01
            49   2.18151e+01   4.90000e+01  -9.64982e+00   1.86377e+01   1.65000e+01   1.80000e+01
            50   2.18071e+01   5.00000e+01  -9.64896e+00   1.86373e+01   1.65000e+01   1.80000e+01
