a1,a2,tau1,tau2
0.66,-0.66,1825.23,0.04
1.47,-1.64,519.44,45.86
1.35,-1.45,514.01,42.74
1.15,-1.22,723.97,37.28
1.35,-1.36,442.77,53.69
1.00,-1.11,644.50,32.91
1.12,-1.19,441.07,43.59
1.07,-1.14,469.53,44.86
1.03,-1.12,668.71,45.19
1.12,-1.17,534.64,53.77
-1.65,1.74,253.35,64.36
-1.22,1.29,373.35,52.94
-1.03,1.13,517.74,38.57
-1.17,1.26,377.78,46.85
-1.12,1.22,447.63,42.14
-1.48,1.49,489.60,74.01
-1.38,1.38,511.39,54.20
-1.18,1.28,751.53,39.67
-1.48,1.56,550.58,56.04
-0.51,0.63,2483.03,26.65
