a1,a2,tau1,tau2
-1.26,0.97,64.33,608.79
-1.41,1.26,38.05,475.49
-1.22,1.12,34.76,447.34
-1.19,1.13,35.26,372.24
-1.24,1.20,43.85,313.62
-1.18,1.12,39.27,289.26
-0.92,0.84,27.73,474.83
-1.14,1.14,47.64,301.22
-0.97,0.87,35.65,523.48
-1.10,1.04,44.63,410.27
227.47,-227.43,99.41,100.20
1.07,-0.97,35.60,337.57
1.06,-0.98,33.55,343.69
1.00,-0.91,29.24,382.84
1.05,-0.96,34.25,386.11
1.29,-1.33,66.60,444.59
1.10,-1.03,34.23,533.16
1.22,-1.19,42.46,423.11
1.51,-1.44,49.59,370.94
-0.49,0.57,1648.69,26.22
