a1,a2,tau1,tau2
-1.44,1.22,72.23,369.22
-1.49,1.35,37.17,328.82
-1.25,1.18,34.10,310.40
-1.23,1.17,34.16,272.66
-1.07,1.01,31.98,284.03
-1.10,1.01,30.65,244.83
-1.06,1.02,34.56,226.15
-0.90,0.85,30.53,336.69
-0.89,0.83,32.07,388.74
-0.99,0.93,38.31,322.28
-1.85,1.89,145.73,58.26
-0.96,1.03,243.64,36.34
-1.04,1.06,223.06,38.51
-0.99,1.05,202.71,32.06
-0.84,0.93,327.25,26.28
-1.07,1.09,448.16,45.36
-1.33,1.32,261.54,51.21
-1.01,1.11,469.10,28.24
-1.33,1.39,325.44,47.58
-0.56,0.66,813.16,28.19
