a1,a2,tau1,tau2
-1.28,0.96,62.59,895.16
-1.61,1.49,49.47,460.24
-1.32,1.21,34.75,562.15
-1.39,1.38,53.04,367.08
-1.16,1.08,36.54,608.30
-1.29,1.27,50.20,347.36
-1.07,0.97,32.92,551.25
-1.51,1.57,73.80,305.96
-1.09,1.04,47.25,534.94
-1.00,0.90,35.45,826.32
-2.46,2.55,182.77,76.84
-1.05,1.13,395.45,41.92
-1.02,1.11,444.84,37.23
-1.20,1.27,353.66,44.90
-1.05,1.17,439.42,37.98
-1.25,1.26,589.13,58.29
-1.31,1.32,507.20,52.57
-1.40,1.40,417.85,58.70
-1.34,1.45,563.10,47.38
-0.48,0.58,2403.74,24.12
